season,mvp,defensive_player,rookie_of_the_year,sixth_man,most_improved,sportsmanship
2019/2020,Giannis Antetokounmpo,Giannis Antetokounmpo,Ja Morant,Montrezl Harrell,Brandon Ingram,Vince Carter
2018/2019,Giannis Antetokounmpo,Rudy Gobert,Luka Doncic,Louis Williams,Pascal Siakam,Mike Conley
2017/2018,James Harden,Rudy Gobert,Ben Simmons,Louis Williams,Victor Oladipo,Kemba Walker
2016/2017,Russell Westbrook,Draymond Green,Malcolm Brogdon,Eric Gordon,Giannis Antetokounmpo,Kemba Walker
2015/2016,Stephen Curry,Kawhi Leonard,Karl-Anthony Towns,Jamal Crawford,C.J. McCollum,Mike Conley
2014/2015,Stephen Curry,Kawhi Leonard,Andrew Wiggins,Louis Williams,Jimmy Butler,Kyle Korver
2013/2014,Kevin Durant,Joakim Noah,Michael Carter-Williams,Jamal Crawford,Goran Dragic,Mike Conley
2012/2013,LeBron James,Marc Gasol,Damian Lillard,J.R. Smith,Paul George,Jason Kidd
2011/2012,LeBron James,Tyson Chandler,Kyrie Irving,James Harden,Ryan Anderson,Jason Kidd
2010/2011,Derrick Rose,Dwight Howard,Blake Griffin,Lamar Odom,Kevin Love,Stephen Curry
2009/2010,LeBron James,Dwight Howard,Tyreke Evans,Jamal Crawford,Aaron Brooks,Grant Hill
2008/2009,LeBron James,Dwight Howard,Derrick Rose,Jason Terry,Danny Granger,Chauncey Billups
2007/2008,Kobe Bryant,Kevin Garnett,Kevin Durant,Manu Ginóbili,Hedo Turkoglu,Grant Hill
2006/2007,Dirk Nowitzki,Marcus Camby,Brandon Roy,Leandro Barbosa,Monta Ellis,Luol Deng
2005/2006,Steve Nash,Ben Wallace,Chris Paul,Mike Miller,Boris Diaw,Elton Brand
2004/2005,Steve Nash,Ben Wallace,Emeka Okafor,Ben Gordon,Bobby Simmons,Grant Hill
2003/2004,Kevin Garnett,Metta World Peace,LeBron James,Antawn Jamison,Zach Randolph,P.J. Brown
2002/2003,Tim Duncan,Ben Wallace,Amar'e Stoudemire,Bobby Jackson,Gilbert Arenas,Ray Allen
2001/2002,Tim Duncan,Ben Wallace,Pau Gasol,Corliss Williamson,Jermaine O'Neal,Steve Smith
2000/2001,Allen Iverson,Dikembe Mutombo,Mike Miller,Aaron McKie,Tracy McGrady,David Robinson
1999/2000,Shaquille O'Neal,Alonzo Mourning,Steve Francis,Rodney Rogers,Jalen Rose,Eric Snow
1999/2000,Shaquille O'Neal,Alonzo Mourning,Elton Brand,Rodney Rogers,Jalen Rose,Eric Snow
1998/1999,Karl Malone,Alonzo Mourning,Vince Carter,Darrell Armstrong,Darrell Armstrong,Hersey Hawkins
1997/1998,Michael Jordan,Dikembe Mutombo,Tim Duncan,Danny Manning,Alan Henderson,Avery Johnson
1996/1997,Karl Malone,Dikembe Mutombo,Allen Iverson,John Starks,Isaac Austin,Terrell Brandon
1995/1996,Michael Jordan,Gary Payton,Damon Stoudamire,Toni Kukoc,Gheorghe Muresan,Joe Dumars
1994/1995,David Robinson,Dikembe Mutombo,Jason Kidd,Anthony Mason,Dana Barros,
1994/1995,David Robinson,Dikembe Mutombo,Grant Hill,Anthony Mason,Dana Barros,
1993/1994,Hakeem Olajuwon,Hakeem Olajuwon,Chris Webber,Dell Curry,Don MacLean,
1992/1993,Charles Barkley,Hakeem Olajuwon,Shaquille O'Neal,Cliff Robinson,Mahmoud Abdul-Rauf,
1991/1992,Michael Jordan,David Robinson,Larry Johnson,Detlef Schrempf,Pervis Ellison,
1990/1991,Michael Jordan,Dennis Rodman,Derrick Coleman,Detlef Schrempf,Scott Skiles,
1989/1990,Magic Johnson,Dennis Rodman,David Robinson,Ricky Pierce,Rony Seikaly,
1988/1989,Magic Johnson,Mark Eaton,Mitch Richmond,Eddie Johnson,Kevin Johnson,
1987/1988,Michael Jordan,Michael Jordan,Mark Jackson,Roy Tarpley,Kevin Duckworth,
1986/1987,Magic Johnson,Michael Cooper,Chuck Person,Ricky Pierce,Dale Ellis,
1985/1986,Larry Bird,Alvin Robertson,Patrick Ewing,Bill Walton,Alvin Robertson,
1984/1985,Larry Bird,Mark Eaton,Michael Jordan,Kevin McHale,,
1983/1984,Larry Bird,Sidney Moncrief,Ralph Sampson,Kevin McHale,,
1982/1983,Moses Malone,Sidney Moncrief,Terry Cummings,Bobby Jones,,
1981/1982,Moses Malone,,Buck Williams,,,
1980/1981,Julius Erving,,Darrell Griffith,,,
1979/1980,Kareem Abdul-Jabbar,,Larry Bird,,,
1978/1979,Moses Malone,,Phil Ford,,,
1977/1978,Bill Walton,,Walter Davis,,,
1976/1977,Kareem Abdul-Jabbar,,Adrian Dantley,,,
1975/1976,Kareem Abdul-Jabbar,,Alvan Adams,,,
1974/1975,Bob McAdoo,,Jamaal Wilkes,,,
1973/1974,Kareem Abdul-Jabbar,,Ernie DiGregorio,,,
1972/1973,Dave Cowens,,Bob McAdoo,,,
1971/1972,Kareem Abdul-Jabbar,,Sidney Wicks,,,
1970/1971,Kareem Abdul-Jabbar,,Geoff Petrie,,,
1970/1971,Kareem Abdul-Jabbar,,Dave Cowens,,,
1969/1970,Willis Reed,,Kareem Abdul-Jabbar,,,
1968/1969,Wes Unseld,,Wes Unseld,,,
1967/1968,Wilt Chamberlain,,Earl Monroe,,,
1966/1967,Wilt Chamberlain,,Dave Bing,,,
1965/1966,Wilt Chamberlain,,Rick Barry,,,
1964/1965,Bill Russell,,Willis Reed,,,
1963/1964,Oscar Robertson,,Jerry Lucas,,,
1962/1963,Bill Russell,,Terry Dischinger,,,
1961/1962,Bill Russell,,Walt Bellamy,,,
1960/1961,Bill Russell,,Oscar Robertson,,,
1959/1960,Wilt Chamberlain,,Wilt Chamberlain,,,
1958/1959,Bob Pettit,,Elgin Baylor,,,
1957/1958,Bill Russell,,Woody Sauldsberry,,,
1956/1957,Bob Cousy,,Tom Heinsohn,,,
1955/1956,Bob Pettit,,Maurice Stokes,,,
1954/1955,,,Bob Pettit,,,
1953/1954,,,Ray Felix,,,
1952/1953,,,Don Meineke,,,
1951/1952,,,,,,
1950/1951,,,,,,
1949/1950,,,,,,
