,Season,team,coach_name
0,2020/2021,MIL,M. Budenholzer
1,2019/2020,MIL,M. Budenholzer
2,2018/2019,MIL,M. Budenholzer
3,2017/2018,MIL,J. Kidd
4,2016/2017,MIL,J. Kidd
5,2015/2016,MIL,J. Kidd
6,2014/2015,MIL,J. Kidd
7,2013/2014,MIL,L. Drew
8,2012/2013,MIL,S. Skiles
9,2011/2012,MIL,S. Skiles
10,2010/2011,MIL,S. Skiles
11,2009/2010,MIL,S. Skiles
12,2008/2009,MIL,S. Skiles
13,2007/2008,MIL,L. Krystkowiak
14,2006/2007,MIL,T. Stotts
15,2005/2006,MIL,T. Stotts
16,2004/2005,MIL,T. Porter
17,2003/2004,MIL,T. Porter
18,2002/2003,MIL,G. Karl
19,2001/2002,MIL,G. Karl
20,2000/2001,MIL,G. Karl
21,1999/2000,MIL,G. Karl
22,1998/1999,MIL,G. Karl
23,1997/1998,MIL,C. Ford
24,1996/1997,MIL,C. Ford
25,1995/1996,MIL,M. Dunleavy
26,1994/1995,MIL,M. Dunleavy
27,1993/1994,MIL,M. Dunleavy
28,1992/1993,MIL,M. Dunleavy
29,1991/1992,MIL,D. Harris
30,1990/1991,MIL,D. Harris
31,1989/1990,MIL,D. Harris
32,1988/1989,MIL,D. Harris
33,1987/1988,MIL,D. Harris
34,1986/1987,MIL,D. Nelson
35,1985/1986,MIL,D. Nelson
36,1984/1985,MIL,D. Nelson
37,1983/1984,MIL,D. Nelson
38,1982/1983,MIL,D. Nelson
39,1981/1982,MIL,D. Nelson
40,1980/1981,MIL,D. Nelson
41,1979/1980,MIL,D. Nelson
42,1978/1979,MIL,D. Nelson
43,1977/1978,MIL,D. Nelson
44,1976/1977,MIL,L. Costello
45,1975/1976,MIL,L. Costello
46,1974/1975,MIL,L. Costello
47,1973/1974,MIL,L. Costello
48,1972/1973,MIL,L. Costello
49,1971/1972,MIL,L. Costello
50,1970/1971,MIL,L. Costello
51,1969/1970,MIL,L. Costello
52,1968/1969,MIL,L. Costello
0,2020/2021,CHI,B. Donovan
1,2019/2020,CHI,J. Boylen
2,2018/2019,CHI,F. Hoiberg
3,2017/2018,CHI,F. Hoiberg
4,2016/2017,CHI,F. Hoiberg
5,2015/2016,CHI,F. Hoiberg
6,2014/2015,CHI,T. Thibodeau
7,2013/2014,CHI,T. Thibodeau
8,2012/2013,CHI,T. Thibodeau
9,2011/2012,CHI,T. Thibodeau
10,2010/2011,CHI,T. Thibodeau
11,2009/2010,CHI,V. Del Negro
12,2008/2009,CHI,V. Del Negro
13,2007/2008,CHI,S. Skiles
14,2006/2007,CHI,S. Skiles
15,2005/2006,CHI,S. Skiles
