season,mvp,defensive_player,rookie_of_the_year,sixth_man,most_improved,sportsmanship
2019/2020,Giannis Antetokounmpo,Giannis Antetokounmpo,Ja Morant,Montrezl Harrell,Brandon Ingram,Vince Carter
2018/2019,Giannis Antetokounmpo,Rudy Gobert,Luka Doncic,Louis Williams,Pascal Siakam,Mike Conley
2017/2018,James Harden,Rudy Gobert,Ben Simmons,Louis Williams,Victor Oladipo,Kemba Walker
2016/2017,Russell Westbrook,Draymond Green,Malcolm Brogdon,Eric Gordon,Giannis Antetokounmpo,Kemba Walker
2015/2016,Stephen Curry,Kawhi Leonard,Karl-Anthony Towns,Jamal Crawford,C.J. McCollum,Mike Conley
2014/2015,Stephen Curry,Kawhi Leonard,Andrew Wiggins,Louis Williams,Jimmy Butler,Kyle Korver
2013/2014,Kevin Durant,Joakim Noah,Michael Carter-Williams,Jamal Crawford,Goran Dragic,Mike Conley
2012/2013,LeBron James,Marc Gasol,Damian Lillard,J.R. Smith,Paul George,Jason Kidd
2011/2012,LeBron James,Tyson Chandler,Kyrie Irving,James Harden,Ryan Anderson,Jason Kidd
2010/2011,Derrick Rose,Dwight Howard,Blake Griffin,Lamar Odom,Kevin Love,Stephen Curry
2009/2010,LeBron James,Dwight Howard,Tyreke Evans,Jamal Crawford,Aaron Brooks,Grant Hill
2008/2009,LeBron James,Dwight Howard,Derrick Rose,Jason Terry,Danny Granger,Chauncey Billups
2007/2008,Kobe Bryant,Kevin Garnett,Kevin Durant,Manu Ginóbili,Hedo Turkoglu,Grant Hill
2006/2007,Dirk Nowitzki,Marcus Camby,Brandon Roy,Leandro Barbosa,Monta Ellis,Luol Deng
2005/2006,Steve Nash,Ben Wallace,Chris Paul,Mike Miller,Boris Diaw,Elton Brand
2004/2005,Steve Nash,Ben Wallace,Emeka Okafor,Ben Gordon,Bobby Simmons,Grant Hill
2003/2004,Kevin Garnett,Metta World Peace,LeBron James,Antawn Jamison,Zach Randolph,P.J. Brown
2002/2003,Tim Duncan,Ben Wallace,Amar'e Stoudemire,Bobby Jackson,Gilbert Arenas,Ray Allen
2001/2002,Tim Duncan,Ben Wallace,Pau Gasol,Corliss Williamson,Jermaine O'Neal,Steve Smith
2000/2001,Allen Iverson,Dikembe Mutombo,Mike Miller,Aaron McKie,Tracy McGrady,David Robinson
1999/2000,Shaquille O'Neal,Alonzo Mourning,Steve Francis,Rodney Rogers,Jalen Rose,Eric Snow
1998/1999,Karl Malone,Alonzo Mourning,Vince Carter,Darrell Armstrong,Darrell Armstrong,Hersey Hawkins
1997/1998,Michael Jordan,Dikembe Mutombo,Tim Duncan,Danny Manning,Alan Henderson,Avery Johnson
1996/1997,Karl Malone,Dikembe Mutombo,Allen Iverson,John Starks,Isaac Austin,Terrell Brandon
1995/1996,Michael Jordan,Gary Payton,Damon Stoudamire,Toni Kukoc,Gheorghe Muresan,Joe Dumars
1994/1995,David Robinson,Dikembe Mutombo,Jason Kidd,Anthony Mason,Dana Barros,\N
1993/1994,Hakeem Olajuwon,Hakeem Olajuwon,Chris Webber,Dell Curry,Don MacLean,\N
1992/1993,Charles Barkley,Hakeem Olajuwon,Shaquille O'Neal,Cliff Robinson,Mahmoud Abdul-Rauf,\N
1991/1992,Michael Jordan,David Robinson,Larry Johnson,Detlef Schrempf,Pervis Ellison,\N
1990/1991,Michael Jordan,Dennis Rodman,Derrick Coleman,Detlef Schrempf,Scott Skiles,\N
1989/1990,Magic Johnson,Dennis Rodman,David Robinson,Ricky Pierce,Rony Seikaly,\N
1988/1989,Magic Johnson,Mark Eaton,Mitch Richmond,Eddie Johnson,Kevin Johnson,\N
1987/1988,Michael Jordan,Michael Jordan,Mark Jackson,Roy Tarpley,Kevin Duckworth,\N
1986/1987,Magic Johnson,Michael Cooper,Chuck Person,Ricky Pierce,Dale Ellis,\N
1985/1986,Larry Bird,Alvin Robertson,Patrick Ewing,Bill Walton,Alvin Robertson,\N
1984/1985,Larry Bird,Mark Eaton,Michael Jordan,Kevin McHale,\N,\N
1983/1984,Larry Bird,Sidney Moncrief,Ralph Sampson,Kevin McHale,\N,\N
1982/1983,Moses Malone,Sidney Moncrief,Terry Cummings,Bobby Jones,\N,\N
1981/1982,Moses Malone,\N,Buck Williams,\N,\N,\N
1980/1981,Julius Erving,\N,Darrell Griffith,\N,\N,\N
1979/1980,Kareem Abdul-Jabbar,\N,Larry Bird,\N,\N,\N
1978/1979,Moses Malone,\N,Phil Ford,\N,\N,\N
1977/1978,Bill Walton,\N,Walter Davis,\N,\N,\N
1976/1977,Kareem Abdul-Jabbar,\N,Adrian Dantley,\N,\N,\N
1975/1976,Kareem Abdul-Jabbar,\N,Alvan Adams,\N,\N,\N
1974/1975,Bob McAdoo,\N,Jamaal Wilkes,\N,\N,\N
1973/1974,Kareem Abdul-Jabbar,\N,Ernie DiGregorio,\N,\N,\N
1972/1973,Dave Cowens,\N,Bob McAdoo,\N,\N,\N
1971/1972,Kareem Abdul-Jabbar,\N,Sidney Wicks,\N,\N,\N
1970/1971,Kareem Abdul-Jabbar,\N,Geoff Petrie,\N,\N,\N
1969/1970,Willis Reed,\N,Kareem Abdul-Jabbar,\N,\N,\N
1968/1969,Wes Unseld,\N,Wes Unseld,\N,\N,\N
1967/1968,Wilt Chamberlain,\N,Earl Monroe,\N,\N,\N
1966/1967,Wilt Chamberlain,\N,Dave Bing,\N,\N,\N
1965/1966,Wilt Chamberlain,\N,Rick Barry,\N,\N,\N
1964/1965,Bill Russell,\N,Willis Reed,\N,\N,\N
1963/1964,Oscar Robertson,\N,Jerry Lucas,\N,\N,\N
1962/1963,Bill Russell,\N,Terry Dischinger,\N,\N,\N
1961/1962,Bill Russell,\N,Walt Bellamy,\N,\N,\N
1960/1961,Bill Russell,\N,Oscar Robertson,\N,\N,\N
1959/1960,Wilt Chamberlain,\N,Wilt Chamberlain,\N,\N,\N
1958/1959,Bob Pettit,\N,Elgin Baylor,\N,\N,\N
1957/1958,Bill Russell,\N,Woody Sauldsberry,\N,\N,\N
1956/1957,Bob Cousy,\N,Tom Heinsohn,\N,\N,\N
1955/1956,Bob Pettit,\N,Maurice Stokes,\N,\N,\N
1954/1955,\N,\N,Bob Pettit,\N,\N,\N
1953/1954,\N,\N,Ray Felix,\N,\N,\N
1952/1953,\N,\N,Don Meineke,\N,\N,\N
1951/1952,\N,\N,\N,\N,\N,\N
1950/1951,\N,\N,\N,\N,\N,\N
1949/1950,\N,\N,\N,\N,\N,\N
