Season,team,coach_name
1949/1950,FTW,M. Mendenhall
1949/1950,TRI,R. Potter
1949/1950,SYR,A. Cervi
1949/1950,NYK,J. Lapchick
1949/1950,BOS,A. Julian
1949/1950,MNL,J. Kundla
1949/1950,PHW,E. Gottlieb
1949/1950,ROC,L. Harrison
1949/1950,AND,H. Schultz
1949/1950,BLB,B. Jeannette
1949/1950,CHS,P. Brownstein
1949/1950,DNN,J. Darden
1949/1950,INO,W. Jones
1949/1950,SHE,K. Suesens
1949/1950,STB,G. Lewis
1949/1950,WSC,B. Feerick
1949/1950,WAT,C. Shipp
1950/1951,FTW,M. Mendenhall
1950/1951,TRI,D. McMillan
1950/1951,SYR,A. Cervi
1950/1951,NYK,J. Lapchick
1950/1951,BOS,R. Auerbach
1950/1951,MNL,J. Kundla
1950/1951,PHW,E. Gottlieb
1950/1951,ROC,L. Harrison
1950/1951,BLB,B. Jeannette
1950/1951,INO,W. Jones
1950/1951,WSC,B. McKinney
1951/1952,FTW,P. Birch
1951/1952,MLH,D. Moore
1951/1952,SYR,A. Cervi
1951/1952,NYK,J. Lapchick
1951/1952,BOS,R. Auerbach
1951/1952,MNL,J. Kundla
1951/1952,PHW,E. Gottlieb
1951/1952,ROC,L. Harrison
1951/1952,BLB,F. Scolari
1951/1952,INO,H. Schaefer
1952/1953,FTW,P. Birch
1952/1953,MLH,A. Levane
1952/1953,SYR,A. Cervi
1952/1953,NYK,J. Lapchick
1952/1953,BOS,R. Auerbach
1952/1953,MNL,J. Kundla
1952/1953,PHW,E. Gottlieb
1952/1953,ROC,L. Harrison
1952/1953,BLB,C. Reiser
1952/1953,INO,H. Schaefer
1953/1954,FTW,P. Birch
1953/1954,MLH,A. Levane
1953/1954,SYR,A. Cervi
1953/1954,NYK,J. Lapchick
1953/1954,BOS,R. Auerbach
1953/1954,MNL,J. Kundla
1953/1954,PHW,E. Gottlieb
1953/1954,ROC,L. Harrison
1953/1954,BLB,C. Bee
1954/1955,FTW,C. Eckman
1954/1955,MLH,R. Holzman
1954/1955,SYR,A. Cervi
1954/1955,NYK,J. Lapchick
1954/1955,BOS,R. Auerbach
1954/1955,MNL,J. Kundla
1954/1955,PHW,E. Gottlieb
1954/1955,ROC,L. Harrison
1955/1956,FTW,C. Eckman
1955/1956,STL,R. Holzman
1955/1956,SYR,A. Cervi
1955/1956,NYK,J. Lapchick
1955/1956,BOS,R. Auerbach
1955/1956,MNL,J. Kundla
1955/1956,PHW,G. Senesky
1955/1956,ROC,B. Wanzer
1956/1957,FTW,C. Eckman
1956/1957,STL,R. Holzman
1956/1957,SYR,A. Cervi
1956/1957,NYK,V. Boryla
1956/1957,BOS,R. Auerbach
1956/1957,MNL,J. Kundla
1956/1957,PHW,G. Senesky
1956/1957,ROC,B. Wanzer
1957/1958,DET,C. Eckman
1957/1958,STL,A. Hannum
1957/1958,SYR,P. Seymour
1957/1958,NYK,V. Boryla
1957/1958,BOS,R. Auerbach
1957/1958,MNL,G. Mikan
1957/1958,PHW,G. Senesky
1957/1958,CIN,B. Wanzer
1958/1959,DET,R. Rocha
1958/1959,STL,A. Phillip
1958/1959,SYR,P. Seymour
1958/1959,NYK,A. Levane
1958/1959,BOS,R. Auerbach
1958/1959,MNL,J. Kundla
1958/1959,PHW,A. Cervi
1958/1959,CIN,B. Wanzer
1959/1960,DET,R. Rocha
1959/1960,STL,E. Macauley
1959/1960,SYR,P. Seymour
1959/1960,NYK,A. Levane
1959/1960,BOS,R. Auerbach
1959/1960,MNL,J. Castellani
1959/1960,PHW,N. Johnston
1959/1960,CIN,T. Marshall
1960/1961,DET,D. McGuire
1960/1961,STL,P. Seymour
1960/1961,SYR,A. Hannum
1960/1961,NYK,C. Braun
1960/1961,BOS,R. Auerbach
1960/1961,LAL,F. Schaus
1960/1961,PHW,N. Johnston
1960/1961,CIN,C. Wolf
1961/1962,DET,D. McGuire
1961/1962,STL,P. Seymour
1961/1962,CHP,J. Pollard
1961/1962,SYR,A. Hannum
1961/1962,NYK,E. Donovan
1961/1962,BOS,R. Auerbach
1961/1962,LAL,F. Schaus
1961/1962,PHW,F. McGuire
1961/1962,CIN,C. Wolf
1962/1963,DET,D. McGuire
1962/1963,STL,H. Gallatin
1962/1963,CHZ,J. McMahon
1962/1963,SYR,A. Hannum
1962/1963,NYK,E. Donovan
1962/1963,BOS,R. Auerbach
1962/1963,LAL,F. Schaus
1962/1963,SFW,B. Feerick
1962/1963,CIN,C. Wolf
1963/1964,DET,C. Wolf
1963/1964,STL,H. Gallatin
1963/1964,BAL,S. Leonard
1963/1964,PHI,D. Schayes
1963/1964,NYK,E. Donovan
1963/1964,BOS,R. Auerbach
1963/1964,LAL,F. Schaus
1963/1964,SFW,A. Hannum
1963/1964,CIN,J. McMahon
1964/1965,DET,C. Wolf
1964/1965,STL,H. Gallatin
1964/1965,BAL,B. Jeannette
1964/1965,PHI,D. Schayes
1964/1965,NYK,E. Donovan
1964/1965,BOS,R. Auerbach
1964/1965,LAL,F. Schaus
1964/1965,SFW,A. Hannum
1964/1965,CIN,J. McMahon
1965/1966,DET,D. DeBusschere
1965/1966,STL,R. Guerin
1965/1966,BAL,P. Seymour
1965/1966,PHI,D. Schayes
1965/1966,NYK,H. Gallatin
1965/1966,BOS,R. Auerbach
1965/1966,LAL,F. Schaus
1965/1966,SFW,A. Hannum
1965/1966,CIN,J. McMahon
1966/1967,CHI,R. Kerr
1966/1967,DET,D. DeBusschere
1966/1967,STL,R. Guerin
1966/1967,BAL,M. Farmer
1966/1967,PHI,A. Hannum
1966/1967,NYK,D. McGuire
1966/1967,BOS,B. Russell
1966/1967,LAL,F. Schaus
1966/1967,SFW,B. Sharman
1966/1967,CIN,J. McMahon
1967/1968,CHI,R. Kerr
1967/1968,IND,L. Staverman
1967/1968,DET,D. Butcher
1967/1968,STL,R. Guerin
1967/1968,BAL,G. Shue
1967/1968,PHI,A. Hannum
1967/1968,NYK,D. McGuire
1967/1968,BOS,B. Russell
1967/1968,NYN,M. Zaslofsky
1967/1968,DEN,B. Bass
1967/1968,SEA,A. Bianchi
1967/1968,LAL,B. van Breda Kolff
1967/1968,SFW,B. Sharman
1967/1968,CIN,E. Jucker
1967/1968,SDR,J. McMahon
1967/1968,DAL,C. Hagan
1968/1969,MIL,L. Costello
1968/1969,CHI,D. Motta
1968/1969,IND,L. Staverman
1968/1969,DET,D. Butcher
1968/1969,ATL,R. Guerin
1968/1969,BAL,G. Shue
1968/1969,PHI,J. Ramsay
1968/1969,NYK,R. Holzman
1968/1969,BOS,B. Russell
1968/1969,NYN,M. Zaslofsky
1968/1969,DEN,B. Bass
1968/1969,SEA,A. Bianchi
1968/1969,LAL,B. van Breda Kolff
1968/1969,PHO,R. Kerr
1968/1969,SFW,G. Lee
