name,rookie_year,position,height,weight,birth_date
Alaa Abdelnaby,1991,F-C,82,240.0,1968-06-24
Zaid Abdul-Aziz,1969,C-F,81,235.0,1946-04-07
Kareem Abdul-Jabbar,1970,C,86,225.0,1947-04-16
Mahmoud Abdul-Rauf,1991,G,73,162.0,1969-03-09
Tariq Abdul-Wahad,1998,F,78,223.0,1974-11-03
Shareef Abdur-Rahim,1997,F,81,225.0,1976-12-11
Tom Abernethy,1977,F,79,220.0,1954-05-06
Forest Able,1957,G,75,180.0,1932-07-27
John Abramovic,1947,F,75,195.0,1919-02-09
Álex Abrines,2017,G-F,78,200.0,1993-08-01
Precious Achiuwa,2021,F,80,225.0,1999-09-19
Alex Acker,2006,G,77,185.0,1983-01-21
Don Ackerman,1954,G,72,183.0,1930-09-04
Mark Acres,1988,F-C,83,220.0,1962-11-15
Bud Acton,1968,F,78,210.0,1942-01-11
Quincy Acy,2013,F-C,79,240.0,1990-10-06
Alvan Adams,1976,C-F,81,210.0,1954-07-19
Don Adams,1971,F,78,210.0,1947-11-27
George Adams,1973,F-G,77,210.0,1949-05-15
Hassan Adams,2007,G,76,220.0,1984-06-20
Jaylen Adams,2019,G,72,225.0,1996-05-04
Jordan Adams,2015,G,77,209.0,1994-07-08
Michael Adams,1986,G,70,162.0,1963-01-19
Steven Adams,2014,C,83,265.0,1993-07-20
Rafael Addison,1987,F-G,79,215.0,1964-07-22
Bam Adebayo,2018,C-F,81,255.0,1997-07-18
Deng Adel,2019,F,79,200.0,1997-02-01
Rick Adelman,1969,G,73,175.0,1946-06-16
Jeff Adrien,2011,F,79,245.0,1986-02-10
Arron Afflalo,2008,G-F,77,210.0,1985-10-15
Maurice Ager,2007,G,77,202.0,1984-02-09
Mark Aguirre,1982,F-G,78,232.0,1959-12-10
Blake Ahearn,2008,G,74,190.0,1984-05-27
Danny Ainge,1982,G,76,175.0,1959-03-17
Matthew Aitch,1968,F,79,230.0,1944-09-21
Alexis Ajinça,2009,C-F,86,248.0,1988-05-06
Henry Akin,1967,C-F,82,225.0,1944-07-31
Josh Akognon,2013,G,71,185.0,1986-02-10
DeVaughn Akoon-Purcell,2019,G,78,200.0,1993-06-05
Solomon Alabi,2011,C,85,251.0,1988-03-21
Mark Alarie,1987,F,80,217.0,1963-12-11
Gary Alcorn,1960,C,81,225.0,1936-10-08
Furkan Aldemir,2015,F-C,82,240.0,1991-08-09
Cole Aldrich,2011,C,83,250.0,1988-10-31
LaMarcus Aldridge,2007,F-C,83,250.0,1985-07-19
Chuck Aleksinas,1985,C,83,260.0,1959-02-26
Cliff Alexander,2016,F,80,245.0,1995-11-16
Cory Alexander,1996,G,73,185.0,1973-06-22
Courtney Alexander,2001,G,77,205.0,1977-04-27
Gary Alexander,1994,F,79,240.0,1969-11-01
Joe Alexander,2009,F,80,230.0,1986-12-26
Kyle Alexander,2020,F,83,220.0,1996-10-21
Ty-Shon Alexander,2021,G,75,195.0,1998-07-16
Victor Alexander,1992,C-F,81,265.0,1969-08-31
Nickeil Alexander-Walker,2020,G,78,205.0,1998-09-02
Steve Alford,1988,G,74,183.0,1964-11-23
Rawle Alkins,2019,G,77,225.0,1997-10-29
Bob Allen,1969,F,81,205.0,1946-07-17
Grayson Allen,2019,G,76,198.0,1995-10-08
Jarrett Allen,2018,C-F,83,243.0,1998-04-21
Jerome Allen,1996,G,76,184.0,1973-01-28
Kadeem Allen,2018,G,73,200.0,1993-01-15
Lavoy Allen,2012,F-C,81,260.0,1989-02-04
Lucius Allen,1970,G,74,175.0,1947-09-26
Malik Allen,2002,F-C,82,255.0,1978-06-27
Randy Allen,1989,F,80,220.0,1965-01-26
Ray Allen,1997,G,77,205.0,1975-07-20
Tony Allen,2005,G-F,76,213.0,1982-01-11
Willie Allen,1972,F,78,230.0,1949-02-08
Odis Allison,1972,F,78,195.0,1949-10-02
Lance Allred,2008,C,83,250.0,1981-02-02
Darrell Allums,1981,F,81,220.0,1958-09-12
Morris Almond,2008,G,78,225.0,1985-02-02
Derrick Alston,1995,F,83,225.0,1972-08-20
Rafer Alston,2000,G,74,171.0,1976-07-24
Peter Aluma,1999,C,82,260.0,1973-04-23
John Amaechi,1996,C-F,82,270.0,1970-11-26
Ashraf Amaya,1996,F,80,230.0,1971-11-23
Al-Farouq Aminu,2011,F,80,220.0,1990-09-21
Lou Amundson,2007,F-C,81,220.0,1982-12-07
Bob Anderegg,1960,F-G,75,200.0,1937-08-24
Chris Andersen,2002,C-F,82,245.0,1978-07-07
David Andersen,2010,C,83,245.0,1980-06-23
Alan Anderson,2006,G-F,78,220.0,1982-10-16
Andrew Anderson,1968,G,74,184.0,1945-07-06
Antonio Anderson,2010,G,78,215.0,1985-06-05
Cliff Anderson,1968,G-F,74,200.0,1944-09-07
Dan Anderson,1968,C,82,230.0,1943-02-15
Dan Anderson,1975,G,74,185.0,1951-01-01
Derek Anderson,1998,G,77,194.0,1974-07-18
Dwight Anderson,1983,G,75,185.0,1960-12-28
Eric Anderson,1993,F,81,220.0,1970-05-26
Greg Anderson,1988,F-C,82,230.0,1964-06-22
J.J. Anderson,1983,F,80,195.0,1960-09-23
James Anderson,2011,G-F,78,213.0,1989-03-25
Jerome Anderson,1976,G,77,195.0,1953-10-09
Justin Anderson,2016,G,78,230.0,1993-11-19
Kenny Anderson,1992,G,72,168.0,1970-10-09
Kim Anderson,1979,F,79,200.0,1955-05-12
Kyle Anderson,2015,F-G,81,230.0,1993-09-20
Michael Anderson,1989,G,71,184.0,1966-03-23
Nick Anderson,1990,F-G,78,205.0,1968-01-20
Richard Anderson,1983,F-C,82,240.0,1960-11-19
Ron Anderson,1985,F-G,79,215.0,1958-10-15
Ryan Anderson,2009,F,81,240.0,1988-05-06
Shandon Anderson,1997,F-G,78,208.0,1973-12-31
Willie Anderson,1989,G-F,79,190.0,1967-01-08
Wally Anderzunas,1970,C-F,79,220.0,1946-01-11
Martynas Andriuškevičius,2006,C,86,240.0,1986-03-12
Don Anielak,1955,F,79,190.0,1930-11-01
Ike Anigbogu,2018,F-C,82,250.0,1998-10-17
Michael Ansley,1990,F,79,225.0,1967-02-08
Chris Anstey,1998,C,84,249.0,1975-01-01
Giannis Antetokounmpo,2014,F-G,83,242.0,1994-12-06
Kostas Antetokounmpo,2019,F,82,200.0,1997-11-20
Thanasis Antetokounmpo,2016,F,78,219.0,1992-07-18
Carmelo Anthony,2004,F,79,238.0,1984-05-29
Cole Anthony,2021,G,74,185.0,2000-05-15
Greg Anthony,1992,G,72,176.0,1967-11-15
Joel Anthony,2008,C,81,245.0,1982-08-09
Pero Antić,2014,C-F,83,260.0,1982-07-29
OG Anunoby,2018,F,79,232.0,1997-07-17
Keith Appling,2016,G,73,185.0,1992-02-13
Rafael Araújo,2005,C,83,280.0,1980-08-12
Stacey Arceneaux,1962,F,76,210.0,1936-02-17
Robert Archibald,2003,F,83,250.0,1980-03-29
Tiny Archibald,1971,G,73,150.0,1948-09-02
Ryan Arcidiacono,2018,G,75,195.0,1994-03-26
Jim Ard,1971,F-C,80,215.0,1948-09-19
Gilbert Arenas,2002,G,75,191.0,1982-01-06
Trevor Ariza,2005,F,80,215.0,1985-06-30
Paul Arizin,1951,F-G,76,190.0,1928-04-09
Joe Arlauckas,1988,F,81,230.0,1965-07-20
B.J. Armstrong,1990,G,74,175.0,1967-09-09
Bob Armstrong,1957,C-F,80,220.0,1933-06-17
Brandon Armstrong,2002,G,77,188.0,1980-06-16
Curly Armstrong,1949,G-F,71,170.0,1918-11-01
Darrell Armstrong,1995,G,72,170.0,1968-06-22
Hilton Armstrong,2007,F-C,83,235.0,1984-11-11
Tate Armstrong,1978,G,75,175.0,1955-10-05
Jesse Arnelle,1956,F,77,220.0,1933-12-30
Jay Arnette,1964,G,74,175.0,1938-12-19
Bob Arnzen,1970,F,77,205.0,1947-11-03
Carlos Arroyo,2002,G,74,202.0,1979-07-30
Darrell Arthur,2009,F,81,235.0,1988-03-25
John Arthurs,1970,G,76,185.0,1947-08-15
Jamel Artis,2018,G-F,79,213.0,1993-01-12
Ömer Aşık,2011,C,84,255.0,1986-07-04
Vincent Askew,1988,G-F,78,210.0,1966-02-28
Keith Askins,1991,G-F,79,197.0,1967-12-15
Don Asmonga,1954,G,74,185.0,1928-02-15
Dick Atha,1956,G,74,190.0,1931-09-21
Chucky Atkins,2000,G,71,160.0,1974-08-14
Al Attles,1961,G,72,175.0,1936-11-07
Chet Aubuchon,1947,G,70,137.0,1916-05-18
Stacey Augmon,1992,F-G,80,205.0,1968-08-01
D.J. Augustin,2009,G,71,183.0,1987-11-10
James Augustine,2007,F,82,235.0,1984-02-27
Isaac Austin,1992,C,82,255.0,1969-08-18
Johnny Austin,1967,G,72,170.0,1944-08-31
Ken Austin,1984,F,81,205.0,1961-07-15
Deni Avdija,2021,G-F,81,210.0,2001-01-03
Anthony Avent,1993,F,81,235.0,1969-10-18
Bird Averitt,1974,G,73,170.0,1952-07-22
William Avery,2000,G,74,197.0,1979-08-08
Dennis Awtrey,1971,C,82,235.0,1948-02-22
Gustavo Ayón,2012,C,82,250.0,1985-04-01
Jeff Ayres,2010,F,81,240.0,1987-04-29
Deandre Ayton,2019,C,83,250.0,1998-07-23
Kelenna Azubuike,2007,G,77,220.0,1983-12-16
Udoka Azubuike,2021,C,82,280.0,1999-09-17
Chris Babb,2014,G,77,225.0,1990-02-14
Luke Babbitt,2011,F,81,225.0,1989-06-20
