season,name,team,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PTS
1996/1997,Latrell Sprewell,GSW,80,3353,649,1444,147,415,493,585,58,308,507,132,45,322,1938
1999/2000,Latrell Sprewell,NYK,82,3276,568,1305,44,127,344,397,49,300,332,109,22,226,1524
2016/2017,LeBron James,CLE,74,2794,736,1344,124,342,358,531,97,542,646,92,44,303,1954
2017/2018,LeBron James,CLE,82,3026,857,1580,149,406,388,531,97,612,747,116,71,347,2251
2018/2019,LeBron James,LAL,55,1937,558,1095,111,327,278,418,57,408,454,72,33,197,1505
2012/2013,Will Conroy,MIN,4,20,0,9,0,3,1,2,1,0,0,0,0,0,1
2011/2012,LaMarcus Aldridge,POR,55,1994,483,943,2,11,223,274,150,292,134,51,45,111,1191
2016/2017,LaMarcus Aldridge,SAS,72,2335,500,1049,23,56,220,271,172,351,139,46,88,98,1243
2017/2018,LaMarcus Aldridge,SAS,75,2509,687,1347,27,92,334,399,246,389,152,43,90,111,1735
1985/1986,Larry Spriggs,LAL,43,471,88,192,0,1,38,49,28,53,49,18,9,54,214
1999/2000,Ryan Stack,CLE,25,198,17,51,0,1,18,27,15,30,5,4,11,17,52
